epoch,accuracy,sensitivity,specificity,precision,f1,train_loss,n,tp,tn,fp,fn
1,0.604,0.0,1.0,0,0.0,0.6895,101,0,61,0,40
2,0.6535,0.75,0.5902,0.5455,0.6316,0.6473,101,30,36,25,10
3,0.7129,0.75,0.6885,0.6122,0.6742,0.6009,101,30,42,19,10
4,0.7129,0.9,0.5902,0.5902,0.7129,0.5021,101,36,36,25,4
5,0.7327,0.925,0.6066,0.6066,0.7327,0.4176,101,37,37,24,3
6,0.7624,0.4,1.0,1.0,0.5714,0.3473,101,16,61,0,24
7,0.901,0.9,0.9016,0.8571,0.878,0.2784,101,36,55,6,4
8,0.9109,0.8,0.9836,0.9697,0.8767,0.194,101,32,60,1,8
9,0.8812,0.925,0.8525,0.8043,0.8605,0.179,101,37,52,9,3
10,0.8515,0.95,0.7869,0.7451,0.8352,0.1532,101,38,48,13,2
